fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Apr,2013,Missouri,384983.45,253343.67,166596.3,62209.85,24537.52
2012-2013,Apr,2013,Montana,9201.81,4905.86,3288.88,1586.98,30.0
2012-2013,Apr,2013,Nevada,16977.66,6670.34,5689.64,827.7,153.0
2012-2013,Apr,2013,New England,6950.0,11083.45,9622.83,1140.25,320.37
2012-2013,Apr,2013,New Mexico,77915.05,45618.34,28412.72,11774.51,5431.11
2012-2013,Apr,2013,New York,11578.94,5983.86,2070.47,2730.21,1183.18
2012-2013,Apr,2013,North Carolina,710644.35,926795.91,780712.08,126867.04,19216.79
2012-2013,Apr,2013,Northwest,68617.51,69359.67,28798.09,38415.6,2145.98
2012-2013,Apr,2013,Ohio,145777.86,231008.4,26304.2,195211.23,9492.97
2012-2013,Apr,2013,Oklahoma,977789.56,1427765.76,761603.5,626382.28,39779.98
2012-2013,Apr,2013,Pennsylvania-South Jersey,16760.44,11121.4,9015.8,2008.8,96.8
2012-2013,Apr,2013,Puerto Rico/Virgin Islands,329.47,0.0,0.0,0.0,0.0
2012-2013,Apr,2013,South Carolina,773091.74,935869.18,768897.38,128976.78,37995.02
2012-2013,Apr,2013,Tennessee,963746.01,778385.1,571667.16,148010.03,58707.91
2012-2013,Apr,2013,Texas - BGCT,1022188.37,973656.42,817481.05,123159.5,33015.87
2012-2013,Apr,2013,Texas - SBTC,1162829.46,1672247.09,1479965.23,170380.73,21901.13
2012-2013,Apr,2013,Utah - Idaho,15464.06,38756.36,36538.01,1548.81,669.54
2012-2013,Apr,2013,Virginia - BGAV,66255.67,119022.98,90175.73,25903.0,2944.25
2012-2013,Apr,2013,Virginia - SBCV,341952.15,436052.91,189261.85,233530.59,13260.47
2012-2013,Apr,2013,West Virginia,45818.4,47009.37,2193.0,43896.62,919.75
2012-2013,Apr,2013,Wyoming,0.0,0.0,0.0,0.0,0.0
2012-2013,Apr,2013,Churches & Individuals,454774.02,219241.28,11796.68,32675.28,174769.32
2012-2013,May,2013,Alabama,1701962.1,2371889.84,242665.3,2083657.11,45567.43
2012-2013,May,2013,Alaska,23863.94,54391.64,6780.26,47571.38,40.0
2012-2013,May,2013,Arizona,84987.76,206303.1,15465.36,189606.12,1231.62
2012-2013,May,2013,Arkansas,651877.02,666385.77,76752.54,571841.45,17791.78
2012-2013,May,2013,California,89668.14,417389.63,88516.6,326948.96,1924.07
2012-2013,May,2013,Colorado,12650.98,18562.16,1940.0,16622.16,0.0
2012-2013,May,2013,Dakota,5620.02,26444.7,485.0,25959.7,0.0
2012-2013,May,2013,D. C.,5101.86,387.6,0.0,387.6,0.0
2012-2013,May,2013,Florida,1063666.67,1421354.31,257030.96,1143636.29,20687.06
2012-2013,May,2013,Georgia,1594187.38,2129046.93,208930.37,1843968.08,76148.48
